ts_utc,ts_local,session_id,symbol,total_trades,wins,losses,flat_trades,win_rate,gross_pnl,net_pnl,max_drawdown,open_position,open_unrealized,notes
2025-08-22T14:56:43Z,2025-08-22 10:56:43 ET,20250822T145640Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T14:58:20Z,2025-08-22 10:58:20 ET,20250822T145817Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T17:30:44Z,2025-08-22 13:30:44 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T17:31:45Z,2025-08-22 13:31:45 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T17:36:48Z,2025-08-22 13:36:48 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T17:41:52Z,2025-08-22 13:41:52 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T17:46:55Z,2025-08-22 13:46:55 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T18:41:42Z,2025-08-22 14:41:42 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T19:08:04Z,2025-08-22 15:08:04 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T19:16:13Z,2025-08-22 15:16:13 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T19:42:10Z,2025-08-22 15:42:10 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T19:46:13Z,2025-08-22 15:46:13 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T19:51:16Z,2025-08-22 15:51:16 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T19:56:19Z,2025-08-22 15:56:19 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T20:01:23Z,2025-08-22 16:01:23 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T20:06:25Z,2025-08-22 16:06:25 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-22T20:11:28Z,2025-08-22 16:11:28 ET,20250822T173043Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
