ts_utc,ts_local,session_id,symbol,total_trades,wins,losses,flat_trades,win_rate,gross_pnl,net_pnl,max_drawdown,open_position,open_unrealized,notes
2025-08-28T14:29:18Z,2025-08-28 10:29:18 ET,20250828T142901Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-28T14:30:30Z,2025-08-28 10:30:30 ET,20250828T143013Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-28T14:31:31Z,2025-08-28 10:31:31 ET,20250828T143013Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-28T14:36:36Z,2025-08-28 10:36:36 ET,20250828T143013Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-28T14:41:39Z,2025-08-28 10:41:39 ET,20250828T143013Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-28T14:46:43Z,2025-08-28 10:46:43 ET,20250828T143013Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-28T14:51:48Z,2025-08-28 10:51:48 ET,20250828T143013Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-28T14:56:52Z,2025-08-28 10:56:52 ET,20250828T143013Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-28T15:01:56Z,2025-08-28 11:01:56 ET,20250828T143013Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-28T15:07:01Z,2025-08-28 11:07:01 ET,20250828T143013Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
