ts_utc,ts_local,session_id,symbol,total_trades,wins,losses,flat_trades,win_rate,gross_pnl,net_pnl,max_drawdown,open_position,open_unrealized,notes
2025-08-27T16:44:04Z,2025-08-27 12:44:04 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T16:46:06Z,2025-08-27 12:46:06 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T16:51:10Z,2025-08-27 12:51:10 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T16:56:14Z,2025-08-27 12:56:14 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T17:01:20Z,2025-08-27 13:01:20 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T17:06:24Z,2025-08-27 13:06:24 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T17:11:28Z,2025-08-27 13:11:28 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T17:16:32Z,2025-08-27 13:16:32 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T17:21:36Z,2025-08-27 13:21:36 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T17:26:40Z,2025-08-27 13:26:40 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T17:31:44Z,2025-08-27 13:31:44 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T17:36:48Z,2025-08-27 13:36:48 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T17:41:51Z,2025-08-27 13:41:51 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T17:46:55Z,2025-08-27 13:46:55 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T17:51:58Z,2025-08-27 13:51:58 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T17:57:01Z,2025-08-27 13:57:01 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T18:01:05Z,2025-08-27 14:01:05 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T18:06:08Z,2025-08-27 14:06:08 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T18:11:12Z,2025-08-27 14:11:12 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T18:16:16Z,2025-08-27 14:16:16 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T18:21:22Z,2025-08-27 14:21:22 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T18:26:27Z,2025-08-27 14:26:27 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T18:31:31Z,2025-08-27 14:31:31 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T18:36:34Z,2025-08-27 14:36:34 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
2025-08-27T18:41:38Z,2025-08-27 14:41:38 ET,20250827T164347Z,TSLA,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,
